"Course Name","Description","Department","Hero Image","Default Grading Scale"
"Représentation OneSI","Faire la communication sur les services de l'entreprise et faites vous de l'argent au passage.

<br><br>
- Utilisation d'un CRM pour le suivi de prospects <br>
- Préparation d'une démo","Informatique - IX","/files/businessman-2606506_1920.jpg",""
"Représentation IREX","Deviens représentant de IREX dans ton millieu et commences à gagner de l'argent immédiatement !

<br><br>
- Utilisation d'un CRM pour le suivi de prospects <br>
- Argumentaire IREX pour individus <br>
- Argumentaire IREX pour institutions <br>","Informatique - IX","/files/representant.jpg",""
"Écriture des articles","","Informatique - IX","/files/wordpress-265132_1920.jpg",""
"Community management","Le community management est defini comme étant un ensemble d'actions en ligne visant à promouvoir et à rendre visible une personnalité ou une structure sur les réseaux sociaux. <br><br>

- Ecrire des articles (HTML, Markdown, texte enrichi) <br>
- Créer des visuels <br>
- Monter des vidéos <br>
- Exécuter des campagnes marketing sur les réseaux sociaux <br>
- Publier une newsletter <br>
- Mesurer le feedback de la communauté <br>","Informatique - IX","/files/social_media.jpg",""
"Développement front end","Vous allez pouvoir créer des Front End attrayant avec les technologies du moment <br><br>

- LANGAGES : HTML5, CSS3, Javascript, Bootstrap  etc ... <br>

Afin d’assoir les bases qui seront utiles par la suite.","Informatique - IX","/files/dev_front end.png",""
"Intégration avec des API","Ici nous allons apprendre à récupérer les données d'une source externe vers notre Front End ou alors faire le chemin inverse qui consiste à envoyer les données vers un backend. <br><br>

Nous allons apprendre à utiliser les technologies suivantes: <br>
<li>Postman</li> 
<li>Swagger </li>
<li>Les Web Service </li>","Informatique - IX","/files/dev_front_apic1a5af.png",""
"Développement backend","Cette partie est une introduction au développement backend. Les concepts abordés dans cette partie sont les suivants :
<li>La programmation fonctionnelle</li>
<li>Les Test unitaires</li>
<li>Les IDE</li>","Informatique - IX","/files/dev_backend6ffb4b.png",""
"Développement backend avancé","Nous allons apprendre à dévelloper et à déployer des microservices en utilisant les technologies suivantes : <br>

<li> Java: SpringBoot </li>
<li> Python </li>
<li> Bases de données relationnelles </li>
<li> Bases de données No SQL </li>
<li> Bus d'intégration par message </li>","Informatique - IX","/files/dev_backend_avance_2.png",""
"Initiation à l'informatique professionnelle","Ce cours s’adresse à tous, quel que soit votre niveau y compris les débutants. Nous vous initierons aux bases du travail dans une équipe-projet au sein d'un environnement totalement digital. Le télétravail, les méthodologies de travail en entreprise, ainsi que les exigences du monde professionnel n'auront plus de secret pour vous.","Informatique - IX","/files/onboarding.jpg",""
"DevOps1: Linux From Scratch","L'apprentissage de Linux est indispensable dans ce parcours. C'est pourquoi dans ce cours nous allons construire le système Linux de zéro.","Informatique - IX","/files/linux-4259595_1280.jpg",""
"DevOps2 : Déploiement des services sur des machines virtuelles","Maintenant que vous avez appris l'environnement de travail qui est Linux, nous allons commencer un module plus important encore qui est le déploiement des services sur des machines virtuelles.","Informatique - IX","/files/virtual-machine-software-windows-10-featured.jpg",""
"DevOps3 : Déploiement sur docker","Pour aller encore un peu plus loin, nous allons voir ensemble une technique plus légère et plus avancée que les machines virtuelles appelée docker.","Informatique - IX","/files/illu_docker_blog-52-1-1024x562.png",""
"DevOps4 : Déploiement sur Kubernetes","La crème de la crème dans ce cours, vous allez certainement arriver au sommet de votre art avec cette technologie de Google que plusieurs géants dans le monde utilisent.","Informatique - IX","/files/kubernetes.png",""
"Assurance Qualité en logiciel","Ce cours vous apprend des notions très importantes concernant les tests logiciels.","Informatique - IX","/files/QA.jpeg",""
"Implantation de logiciel","Acquérir sur des projets concrets d'implantation logicielle les compétences nécessaires pour réussir à piloter ce type de projets. <br> 


<p class=""bold"">Ce cours couvre les modules suivants :</p>
<li>Comptabilité</li>
<li>Gestion de la relation client</li>
<li>Gestion des ressources humaines</li>
<li>Gestion des stocks</li>
<li>Achat</li>
<li>Ventes</li>
<li>Qualité</li>
<li>Paiement</li><br>

<p class=""bold"">Ainsi que des modules en fonctions des domaines :</p>

<li>Education</li>
<li>Soins de santé</li>
<li>Prestation de services</li>
<li>Distribution</li>
<li>Agriculture</li>
<li>Non lucratif</li>
<li>Commerce de détail</li>






","Informatique - IX","/files/ERP-1.jpg",""
"Ingénierie des processus métier","Une organisation peut être vue comme un ensemble de processus qui prennent en entrée des intrants et produits des résultats. <br><br>


<li class=""big"">Ici il s'agit d'utiliser des logiciels pour implémenter la gestion de dossiers dans une organisation.
On apprend ainsi à modeliser le processus métier en question, à l'analyser puis à proposer un nouveau avec des améliorations. </li><br>

<li class=""big"">Ensuite, il s'agit de passer à l'implémentation sous forme de logiciel du processus modélisé précédemment. </li><br>

<li class=""big"">Enfin il s'agit d'analyser les données d'exécution des processus déployés pour mieux comprendre leurs dysfonctionnements. </li> 

<br><br>
","Informatique - IX","/files/gros-centre-donnees-rack-salle-serveurs-processus-ingenierie-travail-equipe-technologie-informatique-stockage-nuage_39422-1032.jpg",""
"Analyse d'affaire en logiciels","Dans cette partie il s'agit d'apprendre le métier d'Analyse d'affaire dans une équipe de développements logiciels. Vous allez comprendre le rôle d'un BA dans une telle équipe en travaillant sur des projets concrets de la vie réelle.","Informatique - IX","/files/Analyste_Affaires.jpg",""
"IOT1 : Linux From Scratch","L'apprentissage de linux est indispensable dans ce parcours. C'est pourquoi dans ce cours nous allons builder le système linux de zéro.","Informatique - IX","/files/linux-4259595_1280.jpg",""
"IOT2 : Déploiement des services sur des machines virtuelles","Maintenant que vous avez apris l'environnement de travail qui est linux, nous allons commencer les choses plus importantes encore qui est le déploiement des services sur des machines virtuelles...","Informatique - IX","/files/virtual-machine-software-windows-10-featured.jpg",""
"IOT3 : Déploiement sur docker","Pour aller encore un peu plus loin, nous allons voir ensemble une technologie plus légère et plus avancée que les machines virtuelles elle se nomme docker.","Informatique - IX","/files/illu_docker_blog-52-1-1024x562.png",""
"IOT4 : Infrastructure Iot","Dans ce cours nous allons nous familiariser avec les concepts et infrastructures qui tournent autour des objets connectés. Nous allons voir ensemble les différents objets connectés ensuite nous allons comprendre comment se fait l'interconnexion entre les différents objets.","Informatique - IX","/files/oT-infrastructure-cloud-architecture.png",""
"IOT5 : Développement Iot","Nous allons étudier dans ce cours les contraintes du hardware (Matériel) et les possibilités offertes par le cloud, afin de proposer et de concevoir des applications et des logiciels pour objets connectés. ","Informatique - IX","/files/iot-dev.jpeg",""
"BD1: Large scale data processing","","Informatique - IX","/files/large-scale-data-processing.png",""
"BD2: Large scale data storage","","Informatique - IX","/files/large-scale-data-storage.png",""
"BD3: Large scale data job scheduling","","Informatique - IX","/files/large-scale-data-scheduling.png",""
"BD4: Large scale data streaming","","Informatique - IX","/files/large-scale-data-streaming.jpeg",""
"BD5: Large scale data science","","Informatique - IX","/files/large-scale-datasciencel-250.png",""
"Module 1: Graphic Design"," - Les outils de créativité <br>

 - Initiation à la création d'une identité visuelle ou d'une marque (à l'aide de logiciels libres et à code ouvert) <br>

 - Conception graphique pour tous sans frais supplémentaires<br>

 - Édition de journaux et de magazines<br>","","/files/graphisme.jpg",""
"Module 2: UX/UI Design"," - Méthodes, concepts, théories de conception UX <br>
 - Les phases d'une analyse UX <br>
 - Cas pratique : conception UX avec des outils<br>","","/files/ux.jpg",""
"Module 3: Video editing"," - Introduction  <br>
 - Traitement du son <br>
 - Animations vidéo <br>","","/files/videoediting.jpg",""
"Module 4 : 3D Animation","- Introduction <br>
- Animation 3d avec des outils.","","/files/3d.jpg",""
"introduction au big data","","BIG DATA - IX","",""
"Stockage des données a grande échelle","","Informatique - IX","",""
"Traitement des données à grande échelle","","Informatique - IX","",""
"Introduction and Reminder","","Informatique - IX","/files/reminder.jpg",""
"Initiation a Mysql","Ce cours vous donne les bases sur mysql","Informatique - IX","",""
"Initiation a ERPNext","Cours pour apprendre ERPNext","Informatique - IX","",""
"Spring boot par la pratique","Ce cours va vous apprendre spring boot grâce a des projets concrets.","Informatique - IX","/files/spring2.png",""
"Initiation a wordpress","Ce cour présente les bases sur l'utilisation de wordpress","Informatique - IX","/files/WordPress-512.png",""
"Deploy DNS","","Informatique - IX","",""
"Module 1: Cryptographie","","Informatique - IX","/files/crypto.jpg",""
"Module 2: IAM (  Identity and Access Management )","","Informatique - IX","/files/fingerprint-2904774_1920.jpg",""
"Module 3: PKI (Private Key Infrastructure)","","Informatique - IX","/files/ssl-2890762_1920.jpg",""
