"Name","Description","Hero Image"
"Prendre en main le service de gestion de documents","","/files/documents.jpg"
"Prendre en main le service de gestion de projets","","/files/tuleap.jpg"
"Prendre en main la messagerie instantanée ","","/files/chat.jpg"
"Prendre en main le service de mail ","","/files/mail.jpg"
"Prendre en main le service de visio-conférence JIONE","","/files/jione.jpg"
"Prendre en main le bureau distant  (GATE)","Se connecter au bureau via le gate","/files/gate.jpg"
"Read documentation","",""
"implement project","",""
"Développement","",""
"Create Documentation","",""
"Create scripts","",""
"Introduction to Bigdata key concepts","",""
"Functional programming with Java 8+","",""
"Setup your IDE for Bigdata apps development (Java 8, IntelliJ, Maven, Hadoop-unit)","",""
"Evaluation","",""
"big data","",""
"introduction big data","",""
